year,report_code,corp_code,corp_name,stock_code,corp_cls,auditor_raw,auditor_group,audit_contract_fee,audit_actual_fee,audit_contract_hours,audit_actual_hours,audit_opinion,revenue,revenue_account,revenue_fs_div,source_rcept_no,warnings
2023,11011,00608802,텔콘RF제약,200230,K,동아송강회계법인,other_or_unknown,150000000,150000000,1526,1839,,,,,20240319000844,
2023,11011,01436479,토마토시스템,393210,K,동현회계법인,other_or_unknown,60000000,60000000,528,533,,,,,20240321001290,
2023,11011,01064069,토박스코리아,215480,K,우리회계법인,other_or_unknown,81000000,81000000,667,772,,,,,20240321000214,
2023,11011,00390365,토비스,051360,K,도원회계법인,other_or_unknown,170000000,170000000,1679,1679,,,,,20240318000390,
2023,11011,00355089,토탈소프트,045340,K,대주회계법인,other_or_unknown,71700000,71700000,641,641,,,,,20240318000351,
2023,11011,00531917,톱텍,108230,K,한길회계법인,other_or_unknown,230000000,230000000,1650,1771,,,,,20240320001589,
2023,11011,00596260,투비소프트,079970,K,대성삼경회계법인,other_or_unknown,230000000,230000000,1675,1605,,,,,20240320001919,
2023,11011,00547510,툴젠,199800,K,신한회계법인,other_or_unknown,90000000,90000000,1191,1191,,,,,20240329002613,
2023,11011,01134216,트루엔,417790,K,동아송강회계법인,other_or_unknown,65000000,65000000,680,663,,,,,20240319000800,
2023,11011,01217014,트윔,290090,K,이촌회계법인,other_or_unknown,92000000,92000000,,1059,,,,,20240321001294,
2023,11011,00186939,특수건설,026150,K,대성삼경회계법인,other_or_unknown,137000000,137000000,1808,1808,,,,,20240320001779,
2023,11011,00867098,티로보틱스,117730,K,정인회계법인,other_or_unknown,80000000,80000000,770,720,,,,,20240321001353,
2023,11011,00204642,티비씨,033830,K,동아송강회계,other_or_unknown,140000000,140000000,1367,1367,,,,,20240321001617,
2023,11011,00372688,티사이언티픽,057680,K,현대회계법인,other_or_unknown,120000000,120000000,1195,1226,,,,,20240320001395,
2023,11011,00609661,티쓰리,204610,K,삼덕회계법인,other_or_unknown,145000000,145000000,1450,1288,,,,,20240319000786,
2023,11011,00245472,티씨케이,064760,K,삼정회계법인,samjong_kpmg,280000000,280000000,2053,2002,,,,,20240321000881,
2023,11011,01109937,티앤알바이오팹,246710,K,태성회계법인,other_or_unknown,78000000,78000000,823,842,,,,,20240320000772,
2023,11011,00608440,티앤엘,340570,K,대성삼경 회계법인,other_or_unknown,130000000,130000000,1220,1212,,,,,20240318000516,
2023,11011,00317487,티에스넥스젠,043220,K,회계법인 세일원,other_or_unknown,170000000,170000000,1112,1109,,,,,20240320001507,
2023,11011,01139035,티에스아이,277880,K,대주회계법인,other_or_unknown,120000000,120000000,1547,1424,,,,,20240320001798,
2023,11011,00372226,티에스이,131290,K,삼일회계법인,samil_pwc,290000000,290000000,2430,2483,,,,,20240319000734,
2023,11011,01035368,티에프이,425420,K,한미회계법인,other_or_unknown,86000000,86000000,850,887,,,,,20240321001125,
2023,11011,00814786,티엔엔터테인먼트,131100,K,우리회계법인,other_or_unknown,340000000,340000000,1800,1984,,,,,20240325000304,
2023,11011,00920379,티엘비,356860,K,삼덕회계법인,other_or_unknown,155000000,155000000,1260,1264,,,,,20240320000431,
2023,11011,01335930,티움바이오,321550,K,태성회계법인,other_or_unknown,95000000,95000000,1004,1056,,,,,20240320001680,
2023,11011,01301252,티이엠씨,425040,K,신우회계법인,other_or_unknown,120000000,120000000,1453,1546,,,,,20240320001612,
2023,11011,01113754,티이엠씨씨엔에스,241790,K,다산회계법인,other_or_unknown,105000000,105000000,1360,1366,,,,,20240318000451,
2023,11011,00140061,티케이지애강,022220,K,삼정회계법인,samjong_kpmg,160000000,160000000,1600,1558,,,,,20240318000712,
2023,11011,00693554,티케이케미칼,104480,K,다산회계법인,other_or_unknown,358000000,358000000,3002,3020,,,,,20240321001810,
2023,11011,00497631,티플랙스,081150,K,삼덕회계법인,other_or_unknown,201000000,201000000,1737,1822,,,,,20240321001973,
2023,11011,00578538,티피씨글로벌,130740,K,이촌회계법인,other_or_unknown,145000000,145000000,1206,1151,,,,,20240318000674,
2023,11011,00438036,팅크웨어,084730,K,삼덕회계법인,other_or_unknown,170000000,170000000,2062,2246,,,,,20240319000573,
2023,11011,01292291,파두,440110,K,한영삼경회계법인,ey_hanyoung,139000000,,1560,,,,,,20240320000994,
2023,11011,01130849,파라택시스이더리움,290560,K,한울회계법인,other_or_unknown,60000000,60000000,675,777,,,,,20240318000446,
2023,11011,01227039,파라택시스코리아,288330,K,삼정회계법인,samjong_kpmg,100000000,77000000,1100,963,,,,,20240318000706,
2023,11011,00105138,파라텍,033540,K,신한회계법인,other_or_unknown,160000000,99000000,1800,2029,,,,,20240319000713,
2023,11011,01495180,파로스아이바이오,388870,K,삼도회계법인,other_or_unknown,70000000,70000000,706,706,,,,,20240320001638,
2023,11011,00266934,파루,043200,K,성현회계법인,other_or_unknown,180000000,180000000,1250,1217,,,,,20240321000896,
